Model;Ablasyon;Head;Tune;Rock F1 (Mean±SD);Paper F1 (Mean±SD);Scissors F1 (Mean±SD);Background F1 (Mean±SD)
MobileNetV3Small;GAN;Standard;Progressive;83.20 ± 0.78;76.05 ± 0.61;76.62 ± 0.54;95.53 ± 0.56
MobileNetV3Small;GAN;Standard;Standard;99.12 ± 0.13;97.39 ± 0.14;97.40 ± 0.13;99.54 ± 0.04
MobileNetV3Small;REMBG_ONLY;Standard;Standard;95.58 ± 7.95;92.38 ± 11.14;92.78 ± 10.02;98.53 ± 2.02
MobileNetV3Small;INDOOR;Standard;Standard;99.26 ± 0.09;97.91 ± 0.24;97.84 ± 0.25;99.64 ± 0.05
MobileNetV3Small;INDOOR;Standard;Progressive;82.97 ± 0.80;75.54 ± 0.71;76.55 ± 0.84;95.22 ± 0.79
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;92.17 ± 9.29;88.20 ± 12.51;88.95 ± 11.50;96.90 ± 3.36
MobileNetV3Small;NO_SHIFT;Standard;Standard;88.82 ± 9.34;83.86 ± 12.36;84.34 ± 11.68;96.54 ± 2.55
MobileNetV3Small;NO_SYNTH;Standard;Standard;43.30 ± 7.92;48.48 ± 3.61;47.80 ± 10.49;7.39 ± 13.21
MobileNetV3Small;NO_ALPHA;Standard;Standard;91.71 ± 9.70;88.88 ± 11.76;88.12 ± 12.32;97.32 ± 2.64
MobileNetV3Small;FULL;Standard;Progressive;82.97 ± 0.60;75.79 ± 1.70;76.97 ± 0.90;95.24 ± 0.49
MobileNetV3Small;FULL;Standard;Standard;99.18 ± 0.06;97.37 ± 0.13;97.25 ± 0.12;99.60 ± 0.06
MobileNetV3Small;RANDBG;Standard;Progressive;82.76 ± 1.16;76.06 ± 1.04;76.64 ± 0.89;94.56 ± 0.27
MobileNetV3Small;RANDBG;Standard;Standard;99.29 ± 0.11;97.93 ± 0.05;97.81 ± 0.04;99.68 ± 0.05
MobileNetV3Small;RATIO_1X;Standard;Standard;88.72 ± 9.17;83.57 ± 12.28;84.46 ± 11.68;96.79 ± 2.58
VGG16;GAN;Standard;Standard;99.96 ± 0.07;99.86 ± 0.06;99.92 ± 0.07;99.90 ± 0.05
VGG16;GAN;Standard;Progressive;99.92 ± 0.04;99.79 ± 0.05;99.91 ± 0.03;99.79 ± 0.03
VGG16;REMBG_ONLY;Standard;Standard;99.88 ± 0.08;99.80 ± 0.05;99.89 ± 0.04;99.81 ± 0.08
VGG16;INDOOR;Standard;Progressive;99.85 ± 0.06;99.87 ± 0.02;99.98 ± 0.02;99.74 ± 0.05
VGG16;INDOOR;Standard;Standard;99.98 ± 0.03;99.92 ± 0.04;99.96 ± 0.02;99.95 ± 0.05
VGG16;STYLE_TRANSFER;Standard;Standard;99.86 ± 0.11;99.75 ± 0.03;99.84 ± 0.08;99.77 ± 0.07
VGG16;NO_SHIFT;Standard;Standard;99.88 ± 0.05;99.76 ± 0.06;99.85 ± 0.10;99.79 ± 0.04
VGG16;NO_SYNTH;Standard;Standard;49.12 ± 8.96;57.09 ± 6.58;45.65 ± 7.85;8.59 ± 10.02
VGG16;NO_ALPHA;Standard;Standard;99.89 ± 0.08;99.79 ± 0.03;99.91 ± 0.04;99.78 ± 0.08
VGG16;FULL;Standard;Progressive;99.93 ± 0.05;99.80 ± 0.02;99.93 ± 0.02;99.80 ± 0.05
VGG16;FULL;Standard;Standard;99.97 ± 0.05;99.89 ± 0.13;99.93 ± 0.09;99.92 ± 0.07
VGG16;RANDBG;Standard;Standard;99.96 ± 0.06;99.97 ± 0.06;99.98 ± 0.03;99.94 ± 0.07
VGG16;RANDBG;Standard;Progressive;99.91 ± 0.05;99.86 ± 0.01;99.98 ± 0.02;99.79 ± 0.06
VGG16;RATIO_1X;Standard;Standard;99.88 ± 0.06;99.78 ± 0.04;99.85 ± 0.03;99.78 ± 0.09
EfficientNetV2B0;GAN;Standard;Standard;99.95 ± 0.04;99.74 ± 0.07;99.80 ± 0.10;99.91 ± 0.04
EfficientNetV2B0;GAN;Standard;Progressive;93.55 ± 0.39;89.72 ± 0.31;90.18 ± 0.30;98.04 ± 0.44
EfficientNetV2B0;REMBG_ONLY;Standard;Standard;95.54 ± 2.49;91.88 ± 4.41;92.61 ± 3.98;98.77 ± 0.69
EfficientNetV2B0;INDOOR;Standard;Standard;99.95 ± 0.04;99.81 ± 0.08;99.87 ± 0.10;99.90 ± 0.03
EfficientNetV2B0;INDOOR;Standard;Progressive;93.49 ± 0.66;89.94 ± 0.47;90.50 ± 0.52;98.21 ± 0.24
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;96.10 ± 3.42;92.98 ± 6.00;93.61 ± 5.50;98.91 ± 0.88
EfficientNetV2B0;NO_SYNTH;Standard;Standard;51.44 ± 10.93;48.88 ± 4.85;42.46 ± 8.02;16.64 ± 9.84
EfficientNetV2B0;NO_ALPHA;Standard;Standard;98.45 ± 3.15;97.54 ± 4.68;97.65 ± 4.31;99.31 ± 1.27
EfficientNetV2B0;NO_SHIFT;Standard;Standard;95.68 ± 3.88;93.20 ± 5.95;93.16 ± 5.94;98.76 ± 1.05
EfficientNetV2B0;FULL;Attention;Standard;99.83 ± 0.07;99.63 ± 0.04;99.67 ± 0.05;99.84 ± 0.03
EfficientNetV2B0;FULL;Spatial Pooling;Unknown;97.12 ± 1.52;94.09 ± 3.19;94.32 ± 3.06;99.04 ± 0.45
EfficientNetV2B0;FULL;Standard;Progressive;94.08 ± 0.39;89.87 ± 0.50;90.57 ± 0.52;98.25 ± 0.04
EfficientNetV2B0;FULL;Attention;Progressive;94.30 ± 0.70;89.83 ± 0.90;90.39 ± 0.65;98.75 ± 0.13
EfficientNetV2B0;FULL;Standard;Standard;99.87 ± 0.07;99.79 ± 0.04;99.84 ± 0.08;99.81 ± 0.02
EfficientNetV2B0;RANDBG;Standard;Standard;99.94 ± 0.01;99.77 ± 0.07;99.85 ± 0.06;99.91 ± 0.01
EfficientNetV2B0;RANDBG;Standard;Progressive;94.11 ± 0.69;90.08 ± 0.59;90.23 ± 0.42;98.01 ± 0.22
EfficientNetV2B0;RATIO_1X;Standard;Standard;98.54 ± 2.89;97.42 ± 4.95;97.59 ± 4.61;99.50 ± 0.80
DenseNet121;GAN;Standard;Standard;99.95 ± 0.03;99.77 ± 0.10;99.81 ± 0.08;99.92 ± 0.03
DenseNet121;GAN;Standard;Progressive;99.91 ± 0.05;99.61 ± 0.08;99.72 ± 0.06;99.82 ± 0.03
DenseNet121;REMBG_ONLY;Standard;Standard;99.92 ± 0.04;99.79 ± 0.05;99.80 ± 0.05;99.91 ± 0.04
DenseNet121;INDOOR;Standard;Standard;99.99 ± 0.01;99.95 ± 0.08;99.96 ± 0.02;99.95 ± 0.04
DenseNet121;INDOOR;Standard;Progressive;99.93 ± 0.05;99.69 ± 0.05;99.73 ± 0.03;99.86 ± 0.02
DenseNet121;STYLE_TRANSFER;Standard;Standard;99.84 ± 0.04;99.47 ± 0.14;99.45 ± 0.14;99.89 ± 0.03
DenseNet121;NO_SYNTH;Standard;Standard;67.36 ± 4.99;62.60 ± 5.10;62.51 ± 8.05;12.45 ± 7.82
DenseNet121;NO_ALPHA;Standard;Standard;99.95 ± 0.04;99.67 ± 0.10;99.72 ± 0.13;99.87 ± 0.03
DenseNet121;NO_SHIFT;Standard;Standard;99.90 ± 0.05;99.56 ± 0.10;99.60 ± 0.09;99.84 ± 0.05
DenseNet121;FULL;Standard;Progressive;99.91 ± 0.03;99.65 ± 0.04;99.73 ± 0.04;99.84 ± 0.01
DenseNet121;FULL;Standard;Standard;99.98 ± 0.01;99.94 ± 0.07;99.96 ± 0.03;99.96 ± 0.06
DenseNet121;RANDBG;Standard;Standard;99.98 ± 0.02;99.98 ± 0.02;99.98 ± 0.01;99.98 ± 0.02
DenseNet121;RANDBG;Standard;Progressive;99.92 ± 0.09;99.71 ± 0.03;99.79 ± 0.06;99.85 ± 0.04
DenseNet121;RATIO_1X;Standard;Standard;99.90 ± 0.03;99.64 ± 0.15;99.65 ± 0.13;99.89 ± 0.03
ResNet50;GAN;Standard;Standard;99.98 ± 0.01;99.87 ± 0.08;99.92 ± 0.06;99.94 ± 0.07
ResNet50;GAN;Standard;Progressive;99.98 ± 0.02;99.84 ± 0.03;99.91 ± 0.03;99.92 ± 0.06
ResNet50;REMBG_ONLY;Standard;Standard;99.95 ± 0.05;99.79 ± 0.03;99.89 ± 0.05;99.85 ± 0.04
ResNet50;INDOOR;Standard;Progressive;99.98 ± 0.02;99.85 ± 0.02;99.95 ± 0.02;99.87 ± 0.02
ResNet50;INDOOR;Standard;Standard;99.96 ± 0.02;99.89 ± 0.09;99.94 ± 0.04;99.93 ± 0.06
ResNet50;STYLE_TRANSFER;Standard;Standard;99.89 ± 0.06;99.70 ± 0.09;99.79 ± 0.10;99.85 ± 0.04
ResNet50;NO_SHIFT;Standard;Standard;99.92 ± 0.02;99.77 ± 0.02;99.84 ± 0.05;99.87 ± 0.03
ResNet50;NO_SYNTH;Standard;Standard;56.60 ± 3.63;69.66 ± 6.07;52.74 ± 15.19;9.30 ± 14.62
ResNet50;NO_ALPHA;Standard;Standard;99.91 ± 0.05;99.67 ± 0.05;99.74 ± 0.06;99.86 ± 0.03
ResNet50;FULL;Standard;Standard;99.96 ± 0.04;99.90 ± 0.10;99.93 ± 0.06;99.92 ± 0.07
ResNet50;FULL;Standard;Progressive;99.97 ± 0.03;99.87 ± 0.01;99.98 ± 0.02;99.87 ± 0.02
ResNet50;RANDBG;Standard;Standard;99.99 ± 0.01;99.95 ± 0.06;99.98 ± 0.02;99.96 ± 0.05
ResNet50;RANDBG;Standard;Progressive;99.99 ± 0.02;99.92 ± 0.03;99.97 ± 0.04;99.94 ± 0.04
ResNet50;RATIO_1X;Standard;Standard;99.89 ± 0.07;99.71 ± 0.09;99.79 ± 0.09;99.84 ± 0.03
